run_id,size,method,test_curve,stable_rmse,decay_rmse,decay_minus_stable_rmse,decay_to_stable_rmse_ratio
cross_schedule_cosine_train,100,mpl,wsd_20000_24000.csv,0.0031772503694737805,0.023155996252710656,0.019978745883236875,7.2880615500709744
cross_schedule_cosine_train,100,mpl,wsdld_20000_24000.csv,0.0031772503694737805,0.019665636946007137,0.016488386576533356,6.1895144099909825
cross_schedule_cosine_train,100,mpl_plus_fsl_light,wsd_20000_24000.csv,0.010249407573174035,0.022802285344118104,0.01255287777094407,2.2247417893497525
cross_schedule_cosine_train,100,mpl_plus_fsl_light,wsdld_20000_24000.csv,0.010157071583933272,0.018324756885419253,0.008167685301485981,1.8041378101938206
cross_schedule_cosine_train,100,mpl_plus_ridge,wsd_20000_24000.csv,0.010204217690515709,0.01480897569336278,0.004604758002847072,1.451260267323281
cross_schedule_cosine_train,100,mpl_plus_ridge,wsdld_20000_24000.csv,0.010204217690515709,0.008845164892387857,-0.0013590527981278515,0.8668146016336931
cross_schedule_cosine_train,100,tissue,wsd_20000_24000.csv,0.0036052105237111567,0.009268916617534454,0.005663706093823297,2.5709779100481356
cross_schedule_cosine_train,100,tissue,wsdld_20000_24000.csv,0.0036052105237111567,0.0038503179120809553,0.0002451073883697986,1.067986983494514
cross_schedule_cosine_train,100,tissue_plus_fsl_light,wsd_20000_24000.csv,0.006165056889716719,0.009281841327858724,0.0031167844381420045,1.5055564764277818
cross_schedule_cosine_train,100,tissue_plus_fsl_light,wsdld_20000_24000.csv,0.006156281630640761,0.0038340353998677352,-0.002322246230773026,0.6227842762724094
cross_schedule_cosine_train,100,tissue_plus_ridge,wsd_20000_24000.csv,0.009676635047836734,0.008641077366273373,-0.0010355576815633608,0.8929836997629805
cross_schedule_cosine_train,100,tissue_plus_ridge,wsdld_20000_24000.csv,0.009676635047836734,0.004266794589183766,-0.005409840458652968,0.4409378433815825
cross_schedule_cosine_train,25,mpl,wsd_20000_24000.csv,0.005284240610281755,0.017963239844643115,0.01267899923436136,3.39939854549608
cross_schedule_cosine_train,25,mpl,wsdld_20000_24000.csv,0.005284240610281755,0.015551879938959458,0.010267639328677703,2.9430680935874785
cross_schedule_cosine_train,25,mpl_plus_fsl_light,wsd_20000_24000.csv,0.06504852116322232,0.017793004157205222,-0.0472555170060171,0.273534337737799
cross_schedule_cosine_train,25,mpl_plus_fsl_light,wsdld_20000_24000.csv,0.0650241970931997,0.014490458542073311,-0.05053373855112639,0.22284717366527448
cross_schedule_cosine_train,25,mpl_plus_ridge,wsd_20000_24000.csv,0.04365756537906917,0.07615754713320344,0.03249998175413427,1.7444295501121967
cross_schedule_cosine_train,25,mpl_plus_ridge,wsdld_20000_24000.csv,0.04365756537906917,0.06873979664056352,0.025082231261494357,1.5745219881986268
cross_schedule_cosine_train,25,tissue,wsd_20000_24000.csv,0.018662887198367454,0.015987749386910766,-0.0026751378114566876,0.8566600235524814
cross_schedule_cosine_train,25,tissue,wsdld_20000_24000.csv,0.018662887198367454,0.02020062218072164,0.0015377349823541865,1.0823953424788797
cross_schedule_cosine_train,25,tissue_plus_fsl_light,wsd_20000_24000.csv,0.04440475401566365,0.0161137637093568,-0.02829099030630685,0.3628837512234099
cross_schedule_cosine_train,25,tissue_plus_fsl_light,wsdld_20000_24000.csv,0.04440103371372468,0.020319903691865884,-0.0240811300218588,0.4576448337414463
cross_schedule_cosine_train,25,tissue_plus_ridge,wsd_20000_24000.csv,0.04004589635530929,0.013600345087116382,-0.02644555126819291,0.3396189453832326
cross_schedule_cosine_train,25,tissue_plus_ridge,wsdld_20000_24000.csv,0.04004589635530929,0.011186913989236734,-0.02885898236607256,0.279352318399375
cross_schedule_cosine_train,400,mpl,wsd_20000_24000.csv,0.00422961760363256,0.033165927569379056,0.028936309965746497,7.841353681925019
cross_schedule_cosine_train,400,mpl,wsdld_20000_24000.csv,0.0042489453964078515,0.02782455147698834,0.02357560608058049,6.548578266153245
cross_schedule_cosine_train,400,mpl_plus_fsl_light,wsd_20000_24000.csv,0.0036956810249587266,0.032871109517233446,0.02917542849227472,8.89446607952334
cross_schedule_cosine_train,400,mpl_plus_fsl_light,wsdld_20000_24000.csv,0.003748973927985745,0.026577226847564358,0.02282825291957861,7.089200234007445
cross_schedule_cosine_train,400,mpl_plus_ridge,wsd_20000_24000.csv,0.026366288278448904,0.014533207771375851,-0.011833080507073053,0.5512041595651863
cross_schedule_cosine_train,400,mpl_plus_ridge,wsdld_20000_24000.csv,0.02638434845879284,0.007584323292102961,-0.01880002516668988,0.28745539439596857
cross_schedule_cosine_train,400,tissue,wsd_20000_24000.csv,0.006475442340583396,0.013631378758394024,0.007155936417810628,2.1050884312508487
cross_schedule_cosine_train,400,tissue,wsdld_20000_24000.csv,0.006489984449853405,0.006165358961377046,-0.00032462548847635945,0.9499805444859437
cross_schedule_cosine_train,400,tissue_plus_fsl_light,wsd_20000_24000.csv,0.02117186862447979,0.013572353443973841,-0.00759951518050595,0.6410560014660645
cross_schedule_cosine_train,400,tissue_plus_fsl_light,wsdld_20000_24000.csv,0.02117122298238596,0.006067249250026302,-0.015103973732359659,0.2865800079227418
cross_schedule_cosine_train,400,tissue_plus_ridge,wsd_20000_24000.csv,0.026863626866829034,0.015738038140647247,-0.011125588726181787,0.5858493426321535
cross_schedule_cosine_train,400,tissue_plus_ridge,wsdld_20000_24000.csv,0.026880810757895366,0.012360021640380909,-0.014520789117514457,0.4598083648481679
