run_id,size,method,base_method,correction,train_curves,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,wsd_20000_24000.csv,0.01820439812512963,0.014684222017916674,0.004306348188677694,0.01068032811451968,0.9859455892860934,0.002668628287212587,0.003755144061489388
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,wsdld_20000_24000.csv,0.018952601260794764,0.015585301986518594,0.004574394109970457,0.010381685959600331,0.9842870923741285,0.0016349255163452792,0.0042133243208049564
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,constant_72000.csv,0.0497594491111583,0.045414644941793855,0.013756866839834797,0.021453874770662126,0.8292650212604986,0.021453874770662126,0.013482292761546786
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,cosine_72000.csv,0.018028454233497585,0.017378794209050794,0.00526350848683056,0.007182237610942249,0.9828968150357643,0.005914633135505514,0.004863552108871452
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,wsdcon_3.csv,0.023368235035088215,0.017412883325474,0.005064640119698708,0.013853976414500289,0.9792381752568604,0.006102719156384829,0.004554427671286457
cross_schedule_cosine_train,25,tissue,tissue,none,cosine_24000.csv,wsdcon_18.csv,0.004575851768505522,0.0036949755300860255,0.0010474227523273995,0.003160402855566422,0.9991480304454472,0.0009458963620273435,0.000491521993763534
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,wsd_20000_24000.csv,0.03667381749585458,0.03451600541907324,0.009963419425221718,0.014636516347645916,0.942960957041023,0.004646958730951491,0.008846098820727349
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,wsdld_20000_24000.csv,0.03652478760688774,0.03393538085916949,0.009785411597986444,0.014636516347645916,0.9416428190517032,0.005810983930499384,0.009197421128366483
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,constant_72000.csv,0.07668672327660828,0.07508066167562832,0.022591901732957578,0.026857790547461128,0.59448050233188,0.02631345976271259,0.022430508526763357
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,cosine_72000.csv,0.02678379001151783,0.025828675339848218,0.007835631567599054,0.010100991053024928,0.9622511199098146,0.007479446115377445,0.007584970168793816
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,wsdcon_3.csv,0.03174117903070247,0.02968390795365775,0.008429574867307967,0.019797056237564278,0.9616946172792973,0.006100816993611758,0.0013639637014155612
cross_schedule_cosine_train,25,tissue_plus_ridge,tissue,ridge,cosine_24000.csv,wsdcon_18.csv,0.02022476961819162,0.01842297462103348,0.005132163940046993,0.0084149154509244,0.9833563970336157,0.002191080605229949,0.001827816605502606
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsd_20000_24000.csv,0.04073782587653298,0.037090318956376774,0.010726029994638035,0.018643539324429585,0.9296189589794897,0.0026675164613911774,0.010496509171149195
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdld_20000_24000.csv,0.04107608811714188,0.037991867652693044,0.010994266203700647,0.01864239041761542,0.9261930838596595,0.0016093898865888775,0.010949974459023924
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,constant_72000.csv,0.07658371242398473,0.07362941503092983,0.022201304970043773,0.030239713368051997,0.5955692136840414,0.030239713368051997,0.0219935490238478
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,cosine_72000.csv,0.01801714843278372,0.01736829795395007,0.005260366726807182,0.007182216620317948,0.9829182594222629,0.005904887657008312,0.00486096005953134
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdcon_3.csv,0.030523551592520525,0.029601973079570906,0.008397398635983218,0.013852284365313274,0.9645771233863925,0.0061128474177360404,0.0006450256970395446
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdcon_18.csv,0.020124048484798054,0.01585598835374352,0.004372485848508652,0.009915540023448367,0.9835217574673348,0.0009530888942099892,0.0033998724402124324
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,wsd_20000_24000.csv,0.009037289479836948,0.00599432915415153,0.0017519202627788056,0.008143745433014056,0.9965363310328289,0.0061322477649177285,0.0015034707567285527
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,wsdld_20000_24000.csv,0.008181404559304656,0.005491652766651322,0.0015974135819365994,0.008143745433014056,0.9970719759275657,0.006858393409258219,0.0013547265957842575
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,constant_72000.csv,0.00878187662737758,0.007932932667616062,0.002390929917449331,0.008143745433014056,0.9946820280683766,0.0035834052897425477,0.002300242002576029
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,cosine_72000.csv,0.01547492938941618,0.014377988516799077,0.004359105841682082,0.013231108700109557,0.9873986416749916,0.004020428883995636,0.004314735243602742
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,wsdcon_3.csv,0.012577578000365424,0.007697540225351159,0.0021774668171974368,0.013804283506854288,0.9939853863556066,0.0006181699256981142,0.0017836377517376535
cross_schedule_cosine_train,25,mpl,mpl,none,cosine_24000.csv,wsdcon_18.csv,0.006571678371740121,0.003921770312124625,0.001076262544637374,0.008143745433014056,0.9982427531190581,0.0005243554184609047,0.0007490942356048635
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,wsd_20000_24000.csv,0.05114746676532932,0.04793957317201375,0.013919515068589029,0.033442145279883,0.8890548686174043,0.0044390593488224115,0.013863943825508694
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,wsdld_20000_24000.csv,0.04919418832059792,0.0475108727332902,0.013786944634399237,0.02386545837133276,0.8941364375155355,0.020243245553780747,0.013686178562377043
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,constant_72000.csv,0.013769164227300193,0.010691439725800785,0.003176539572140956,0.009566020581669636,0.9869266605645574,0.009301490654185677,0.001735284430717341
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,cosine_72000.csv,0.06673743037823605,0.06534302736195313,0.019819965715092633,0.024095795220923626,0.765631645643721,0.0183494989393744,0.019672997177053602
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,wsdcon_3.csv,0.08274248856874604,0.054100640806446595,0.015251229722603274,0.10952728843342982,0.7397019864554899,0.0012413889639341564,0.013131217259662098
cross_schedule_cosine_train,25,mpl_plus_ridge,mpl,ridge,cosine_24000.csv,wsdcon_18.csv,0.05162713839000523,0.04056512215194909,0.01130767885779042,0.047859238970101095,0.8915483190908615,0.003653589998389094,0.011482856046863513
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,wsd_20000_24000.csv,0.059308090191745204,0.05611136500617296,0.016101873421051106,0.01995646509803874,0.8508278085705054,0.006819335985279725,0.014488952450781824
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,wsdld_20000_24000.csv,0.059122081965553165,0.05542465154161199,0.015892035130531935,0.019949633138616397,0.8470961768865325,0.0071209826124553795,0.014667530597141576
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,constant_72000.csv,0.05985912847347569,0.059744287135053156,0.01784287075682685,0.019679206032798345,0.7529230928256379,0.01736031554713523,0.01785064181899005
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,cosine_72000.csv,0.01603945394679078,0.01472054089312443,0.004478916914511268,0.011281811841920703,0.9864624782680134,0.0049107593845846296,0.004422177662572171
