run_id,size,method,base_method,correction,train_curves,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsd_20000_24000.csv,0.04073782587653298,0.037090318956376774,0.010726029994638035,0.018643539324429585,0.9296189589794897,0.0026675164613911774,0.010496509171149195
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdld_20000_24000.csv,0.04107608811714188,0.037991867652693044,0.010994266203700647,0.01864239041761542,0.9261930838596595,0.0016093898865888775,0.010949974459023924
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,constant_72000.csv,0.07658371242398473,0.07362941503092983,0.022201304970043773,0.030239713368051997,0.5955692136840414,0.030239713368051997,0.0219935490238478
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,cosine_72000.csv,0.01801714843278372,0.01736829795395007,0.005260366726807182,0.007182216620317948,0.9829182594222629,0.005904887657008312,0.00486096005953134
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdcon_3.csv,0.030523551592520525,0.029601973079570906,0.008397398635983218,0.013852284365313274,0.9645771233863925,0.0061128474177360404,0.0006450256970395446
cross_schedule_cosine_train,25,tissue_plus_fsl_light,tissue,fsl_light,cosine_24000.csv,wsdcon_18.csv,0.020124048484798054,0.01585598835374352,0.004372485848508652,0.009915540023448367,0.9835217574673348,0.0009530888942099892,0.0033998724402124324
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,wsd_20000_24000.csv,0.059308090191745204,0.05611136500617296,0.016101873421051106,0.01995646509803874,0.8508278085705054,0.006819335985279725,0.014488952450781824
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,wsdld_20000_24000.csv,0.059122081965553165,0.05542465154161199,0.015892035130531935,0.019949633138616397,0.8470961768865325,0.0071209826124553795,0.014667530597141576
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,constant_72000.csv,0.05985912847347569,0.059744287135053156,0.01784287075682685,0.019679206032798345,0.7529230928256379,0.01736031554713523,0.01785064181899005
cross_schedule_cosine_train,25,mpl_plus_fsl_light,mpl,fsl_light,cosine_24000.csv,cosine_72000.csv,0.01603945394679078,0.01472054089312443,0.004478916914511268,0.011281811841920703,0.9864624782680134,0.0049107593845846296,0.004422177662572171
