run_id,size,start_id,test_curve,objective,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
direction_b_robustness,25,0,wsd_20000_24000.csv,0.00010880573145302129,0.009037289479836948,0.00599432915415153,0.0017519202627788056,0.008143745433014056,0.9965363310328289,0.0061322477649177285,0.0015034707567285527
direction_b_robustness,25,0,wsdld_20000_24000.csv,0.00010880573145302129,0.008181404559304656,0.005491652766651322,0.0015974135819365994,0.008143745433014056,0.9970719759275657,0.006858393409258219,0.0013547265957842575
direction_b_robustness,25,1,wsd_20000_24000.csv,0.00012928323022047097,0.011778625335767502,0.00901382289975659,0.002636672282786528,0.009725564431560968,0.9941163178058281,0.006800759428608713,0.002362402087250702
direction_b_robustness,25,1,wsdld_20000_24000.csv,0.00012928323022047097,0.011254841423646479,0.008690485349971142,0.002535400082192338,0.009725564431560968,0.9944588785812387,0.007615261817987995,0.0022648110490248556
direction_b_robustness,25,2,wsd_20000_24000.csv,8.909608762974268e-05,0.007280334076788134,0.00413450290681351,0.0012059779578989654,0.006642041640024572,0.9977521744251845,0.005530337307909384,0.0006690035596701805
direction_b_robustness,25,2,wsdld_20000_24000.csv,8.909608762974268e-05,0.0061869546021290035,0.0034617873528279674,0.0010009638001263017,0.006642041640024572,0.9983255477605982,0.006170102655364001,0.00046965327399800457
direction_b_robustness,25,3,wsd_20000_24000.csv,0.00015011323956293658,0.014988259446446769,0.012139833827206188,0.0035533441176347955,0.011135084078713121,0.9904728633295111,0.007521178538738918,0.0032347614946170635
direction_b_robustness,25,3,wsdld_20000_24000.csv,0.00015011323956293658,0.014771740880191456,0.011997349952138848,0.0035057268996889525,0.011135084078713121,0.990454860769171,0.008423153780952965,0.00318875601176512
direction_b_robustness,25,4,wsd_20000_24000.csv,7.068346620381423e-05,0.007103148613400505,0.005623173669436376,0.0016441592342133337,0.0051911506121030855,0.9978602561171926,0.00497608540470034,0.0001540194958964561
direction_b_robustness,25,4,wsdld_20000_24000.csv,7.068346620381423e-05,0.006184900843314136,0.00495800386378707,0.001441478344778494,0.005532452959418686,0.9983266592445166,0.005532452959418686,0.0004036784867459348
direction_b_robustness,100,0,wsd_20000_24000.csv,6.787496950943749e-05,0.010269894065394592,0.006290895604846485,0.0020664715742573438,0.008878307889002103,0.9959855514778742,0.008857313890975067,0.001604551773843943
direction_b_robustness,100,0,wsdld_20000_24000.csv,6.787496950943749e-05,0.008852971998644491,0.005573080116195747,0.0018217185886518085,0.009969927916949043,0.9969103649826102,0.009969927916949043,0.0013720958680234602
direction_b_robustness,100,1,wsd_20000_24000.csv,9.040292300247258e-05,0.013043776298813701,0.009528226010108555,0.003114718332214665,0.009786225153484013,0.993524092308362,0.009592349504071973,0.0026764208581345488
direction_b_robustness,100,1,wsdld_20000_24000.csv,9.040292300247258e-05,0.012095515745907781,0.009016779565715182,0.002937525810303337,0.010834850219767394,0.9942326304540707,0.010834850219767394,0.00250825056513177
direction_b_robustness,100,2,wsd_20000_24000.csv,4.865638544880472e-05,0.008722246399622774,0.005018672870258595,0.001647622602996553,0.008192923508755275,0.9971043193244593,0.008192923508755275,0.0005964746217110396
