size,test_curve,rmse_mean,rmse_std,rmse_min,rmse_max,final_rel_error_mean,final_rel_error_std,final_rel_error_min,final_rel_error_max,auc_rel_error_mean,auc_rel_error_std,auc_rel_error_min,auc_rel_error_max,objective_mean,objective_std,objective_min,objective_max
100,wsd_20000_24000.csv,0.011383928350400129,0.003046626405888422,0.008374277548848797,0.016509447439320778,0.00888497613155222,0.0010418262989360977,0.007400030699555185,0.01038226305440359,0.001786711304005363,0.0012993336325380835,0.0002840050792362647,0.003772104187101019,7.125443750581835e-05,2.884131054935808e-05,3.437608409340527e-05,0.0001149618254749717
100,wsdld_20000_24000.csv,0.010174324982890594,0.0034594001425991483,0.006913082732357819,0.015989615336892197,0.009949991314328329,0.0012862075816478288,0.00805666649997609,0.01175096997930757,0.0016937325762390897,0.0012459940330920736,0.00030483701376186455,0.003669019037718721,7.125443750581835e-05,2.884131054935808e-05,3.437608409340527e-05,0.0001149618254749717
25,wsd_20000_24000.csv,0.010037531390447971,0.002991800113620914,0.007103148613400505,0.014988259446446769,0.006192121688975017,0.0009007907311343476,0.00497608540470034,0.007521178538738918,0.001584731478832591,0.0011152998102030268,0.0001540194958964561,0.0032347614946170635,0.00010959635101399716,2.8157734116729054e-05,7.068346620381423e-05,0.00015011323956293658
25,wsdld_20000_24000.csv,0.009315968461717146,0.0032986733229542356,0.006184900843314136,0.014771740880191456,0.006919872924596372,0.0010231606318995355,0.005532452959418686,0.008423153780952965,0.0015363250834636345,0.0010691000746159622,0.0004036784867459348,0.00318875601176512,0.00010959635101399716,2.8157734116729054e-05,7.068346620381423e-05,0.00015011323956293658
400,wsd_20000_24000.csv,0.0152442674463059,0.003762945055196957,0.010304228890254697,0.021095946490008826,0.013690130008941023,0.0017726397587892449,0.010636692897857963,0.015781721724917,0.0029056917611038524,0.0018179403826654847,0.0003364628408717097,0.005486784708920083,9.455646572600623e-05,3.565610109293353e-05,4.741346353359248e-05,0.00014857150985032085
400,wsdld_20000_24000.csv,0.01330041723602127,0.004195650865849739,0.00809341109170503,0.019933386333338916,0.014746864443620764,0.0028659111359703353,0.009486039479675136,0.01772616101842955,0.002585009232909493,0.001840010684839254,0.00010516751496467881,0.005255495715839279,9.455646572600623e-05,3.565610109293353e-05,4.741346353359248e-05,0.00014857150985032085
