run_id,size,base_method,feature_set,alpha,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
ablation_cosine_train,25,tissue,fsl_light,1e-06,wsd_20000_24000.csv,0.039846888662931415,0.0364481004573667,0.010541572683920192,0.018148900599735913,0.9326637659302306,0.002529734657517182,0.010348111249489735
ablation_cosine_train,25,tissue,fsl_light,1e-06,wsdld_20000_24000.csv,0.040178067371129056,0.03736276521694857,0.01081378814167035,0.018154052941093297,0.9293849954713563,0.0008842446964720269,0.010790658299323448
ablation_cosine_train,25,tissue,fsl_light,0.0001,wsd_20000_24000.csv,0.04073782587653298,0.037090318956376774,0.010726029994638035,0.018643539324429585,0.9296189589794897,0.0026675164613911774,0.010496509171149195
ablation_cosine_train,25,tissue,fsl_light,0.0001,wsdld_20000_24000.csv,0.04107608811714188,0.037991867652693044,0.010994266203700647,0.01864239041761542,0.9261930838596595,0.0016093898865888775,0.010949974459023924
ablation_cosine_train,25,tissue,fsl_light,0.01,wsd_20000_24000.csv,0.04049548075335597,0.03685364677519149,0.01065826674207057,0.0185620028597625,0.9304538473420393,0.002671989154442185,0.010426565678697262
ablation_cosine_train,25,tissue,fsl_light,0.01,wsdld_20000_24000.csv,0.04083628944355062,0.037755197345610544,0.010926496467963379,0.018560835792177568,0.9270523252997552,0.0016373246145987522,0.01088045086663692
ablation_cosine_train,25,tissue,fsl_light,1.0,wsd_20000_24000.csv,0.027902145891032723,0.024724558607043937,0.007185347504661531,0.013920794287565973,0.9669831830848715,0.0026439485711450316,0.006920438719602149
ablation_cosine_train,25,tissue,fsl_light,1.0,wsdld_20000_24000.csv,0.028394922289639437,0.025622782107083814,0.007452240389967935,0.013928936896148663,0.9647304210640895,0.0016151867632485824,0.0073750635848475864
ablation_cosine_train,25,mpl,fsl_light,1e-06,wsd_20000_24000.csv,0.044981156978595074,0.042558215343220074,0.012168377177525351,0.01931000893543616,0.9141932930830803,0.004532925771015518,0.012015581959225589
ablation_cosine_train,25,mpl,fsl_light,1e-06,wsdld_20000_24000.csv,0.04389315977057021,0.04172637000169068,0.01191590420188233,0.01713868185150239,0.9157223149776577,0.004911788383439425,0.012012987584631154
ablation_cosine_train,25,mpl,fsl_light,0.0001,wsd_20000_24000.csv,0.059308090191745204,0.05611136500617296,0.016101873421051106,0.01995646509803874,0.8508278085705054,0.006819335985279725,0.014488952450781824
ablation_cosine_train,25,mpl,fsl_light,0.0001,wsdld_20000_24000.csv,0.059122081965553165,0.05542465154161199,0.015892035130531935,0.019949633138616397,0.8470961768865325,0.0071209826124553795,0.014667530597141576
