run_id,size,protocol,method,train_curves,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsd_20000_24000.csv,0.005541096739049398,0.0031474101267644403,0.0009249593383631509,0.0053002533478303145,0.998697878661853,0.0053002533478303145,0.0002865478747595481
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdld_20000_24000.csv,0.004091822397574437,0.0024456638266534833,0.0007111019930001167,0.00493600664695844,0.9992675930505788,0.00493600664695844,9.302602780520868e-05
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,constant_72000.csv,0.0031084686891488106,0.0027153770829756604,0.0008168055270966132,0.002236257684827952,0.9993337083480951,0.0016147940208375408,0.0007724073653327089
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,cosine_72000.csv,0.008851766339328986,0.008164936551381997,0.0024761764793475817,0.007186215965092941,0.9958769377522246,0.0018629948874815388,0.002450691781898306
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_3.csv,0.010867344763033138,0.00774550603077331,0.0022319715588107448,0.008246660031202382,0.9955098527155766,0.0006511162956471888,0.001540154621922041
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_18.csv,0.0036505587319144574,0.0031598919056603806,0.0008900721556816915,0.002236257684827952,0.9994577508741009,0.000510352541709457,0.0001979747335877186
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsd_20000_24000.csv,0.004297360928662284,0.003408385839825258,0.0009987980186252497,0.00297926022956802,0.9992168162767677,0.0029472580769481977,0.0007747424328767703
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdld_20000_24000.csv,0.0038275547826109543,0.0031360955249893426,0.0009152438588521154,0.003107038125900055,0.9993591421083731,0.003107038125900055,0.000694850169632844
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,constant_72000.csv,0.0018837753855370253,0.0015795124507172926,0.0004688991096645878,0.002022818893856203,0.9997553024543698,0.0009096555286399198,7.377845733720938e-06
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,cosine_72000.csv,0.008011251873168652,0.007445347040769482,0.0022397226979438234,0.0070627864534589515,0.9966227688895815,0.000610415230476505,0.00223535934015148
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_3.csv,0.00677955365461945,0.004487187642230267,0.0012851551338838839,0.006417667799814863,0.9982525051645605,0.0010644359991638047,0.0007661266838491045
reproduction_paper_split,25,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_18.csv,0.0031124404063714458,0.002504818961791151,0.000705572009634969,0.0029803402901267925,0.9996058311772724,0.0003932005801799892,0.0003503112847836063
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsd_20000_24000.csv,0.0047731939412931895,0.0024297333128833133,0.0007924247181175985,0.005462680411111984,0.9991328142615065,0.0052271131989212495,0.00010030045290210473
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdld_20000_24000.csv,0.003103019638821902,0.0017569768181977322,0.0005652936643022833,0.0035287218289083056,0.9996204246108421,0.0012679714044061992,0.00021998947656950556
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,constant_72000.csv,0.0036690190004262948,0.0026935326840526377,0.0008820741512889678,0.007323995793073911,0.9991439028249295,0.0016718604292084622,0.0004721554106897532
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,cosine_72000.csv,0.011582269942137633,0.010115822340783226,0.003448407018128616,0.005803308460193447,0.9940013953002838,0.004069029750278346,0.003361369629294331
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_3.csv,0.010031851827247425,0.006934492137930683,0.002218013787937415,0.012065005471453146,0.9965419782976811,0.0013221093411608534,0.0010125881493098727
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_18.csv,0.006829730861962946,0.004116287984145597,0.0013003958470972955,0.008870002533956284,0.998272729542559,0.002087240111756097,7.514062167959087e-05
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsd_20000_24000.csv,0.005915337627161683,0.0037480705220761528,0.001226204419985037,0.00523105331559388,0.9986681569738128,0.005212623196433408,0.0011476391255834811
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdld_20000_24000.csv,0.004923472682288926,0.003248313740665229,0.0010564082755503362,0.005716079398059674,0.9990444089737814,0.005716079398059674,0.0009865186970749117
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,constant_72000.csv,0.005665005251929808,0.004776169698442608,0.001583941969369952,0.0066377472917632345,0.9979590903647099,0.002829564236539183,0.001294777783369747
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,cosine_72000.csv,0.008208814964378714,0.007265129575917494,0.0024507714159879984,0.004545387244965584,0.9969868287786721,0.0005034145936198382,0.0024174448627267866
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_3.csv,0.008895854239538278,0.005669399734090472,0.0018060722483031868,0.010335467875362053,0.9972808021178879,0.003095848343931522,0.0008192820595582693
reproduction_paper_split,100,paper_like_train_split_precomputed_mpl,mpl,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdcon_18.csv,0.0019048172765792609,0.0013816404339982303,0.0004256390511505237,0.0025100604497591953,0.9998656431515413,0.000612603998178032,0.00017794239368891976
reproduction_paper_split,400,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsd_20000_24000.csv,0.006182899557555606,0.0031626154949612488,0.0011031968226132421,0.009803848335937703,0.9986645328093792,0.009803848335937703,0.00039112649044693203
reproduction_paper_split,400,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,wsdld_20000_24000.csv,0.003325113152833977,0.002002206041680063,0.0006791683617426357,0.004948933363050165,0.9995988227777319,0.004948933363050165,0.00014525903907074343
reproduction_paper_split,400,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,constant_72000.csv,0.0061022633237844195,0.0047326093715363135,0.0017004866502956415,0.009081489987059552,0.9978497446538723,0.003799711010711779,0.0013478516131349946
reproduction_paper_split,400,paper_like_train_split_precomputed_mpl,tissue,cosine_24000.csv;constant_24000.csv;wsdcon_9.csv,cosine_72000.csv,0.013875331730392172,0.012023313416564499,0.004446247459141631,0.007678723329301705,0.9924030551304774,0.0051166261839232455,0.003955151632882382
