run_id,size,base_method,feature_set,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
ablation_cosine_train,25,tissue,bias_only,wsd_20000_24000.csv,0.018314644800049004,0.014766534819144495,0.004330666762383154,0.01072639920694318,0.985774845511427,0.002621398598068187,0.0037997640118044664
ablation_cosine_train,25,tissue,bias_only,wsdld_20000_24000.csv,0.019071503592730587,0.015684000378276473,0.0046036669747329595,0.010427699517952657,0.9840893187932006,0.0015877102370401347,0.004257914183593614
ablation_cosine_train,25,tissue,lr_level,wsd_20000_24000.csv,0.010523054760261875,0.008798961337718693,0.002579615548768052,0.006602298969817435,0.9953038317074152,0.003356475653701759,0.0019235113168461055
ablation_cosine_train,25,tissue,lr_level,wsdld_20000_24000.csv,0.010595847730220908,0.008844478924134829,0.0025905608245296143,0.0059571376568269795,0.9950887694363683,0.002416047176606477,0.002219917408936483
ablation_cosine_train,25,tissue,cumulative,wsd_20000_24000.csv,0.017717973981244237,0.014252605626252645,0.00418118261061948,0.010461068502676552,0.9866866266764103,0.0028123068885923717,0.003692937865874464
ablation_cosine_train,25,tissue,cumulative,wsdld_20000_24000.csv,0.018429714542833715,0.01508510088031784,0.004428508881757084,0.010162527114673029,0.985142144750531,0.001795999105859484,0.00414957945427752
ablation_cosine_train,25,tissue,decay_cum,wsd_20000_24000.csv,0.011399660457920315,0.009441847205554178,0.0027685454839398195,0.007124248019264065,0.99448882980488,0.0032894167652848744,0.0021494683767413225
ablation_cosine_train,25,tissue,decay_cum,wsdld_20000_24000.csv,0.01157020560883791,0.00958516800649338,0.0028088217156050097,0.006532313946403256,0.9941440001177241,0.0023447624470234922,0.002469827700462827
ablation_cosine_train,25,tissue,decay_memory,wsd_20000_24000.csv,0.014894796604598118,0.011838473467477937,0.0034769354130823127,0.010478412343269546,0.9905913103069339,0.001864710423799071,0.003056556872300229
ablation_cosine_train,25,tissue,decay_memory,wsdld_20000_24000.csv,0.01549207158566572,0.01272050586649613,0.0037406397156518846,0.0090937778451298,0.9895012427012819,0.0009223410345691663,0.0033866571060755103
ablation_cosine_train,25,tissue,full,wsd_20000_24000.csv,0.036673817495854626,0.0345160054190733,0.00996341942522174,0.014636516347645916,0.9429609570410229,0.004646958730951626,0.008846098820727349
ablation_cosine_train,25,tissue,full,wsdld_20000_24000.csv,0.03652478760688778,0.03393538085916955,0.009785411597986463,0.014636516347645916,0.9416428190517031,0.005810983930499384,0.009197421128366483
ablation_cosine_train,25,tissue,fsl_light,wsd_20000_24000.csv,0.04073782587653298,0.037090318956376774,0.010726029994638035,0.018643539324429585,0.9296189589794897,0.0026675164613911774,0.010496509171149195
ablation_cosine_train,25,tissue,fsl_light,wsdld_20000_24000.csv,0.04107608811714188,0.037991867652693044,0.010994266203700647,0.01864239041761542,0.9261930838596595,0.0016093898865888775,0.010949974459023924
ablation_cosine_train,25,mpl,bias_only,wsd_20000_24000.csv,0.00888628441712994,0.005847346008071105,0.0017083790836029066,0.008079968072639778,0.9966511136465609,0.0060529825068292775,0.0014285854051264634
ablation_cosine_train,25,mpl,bias_only,wsdld_20000_24000.csv,0.00803056292753235,0.005344669620570898,0.0015539274239415274,0.008079968072639778,0.9971789493404897,0.006779152335102551,0.001279891739868562
ablation_cosine_train,25,mpl,lr_level,wsd_20000_24000.csv,0.029699564991784225,0.025002571500066358,0.007363440367903019,0.015501242222620507,0.9625923722553071,0.008986808929205883,0.006935673458009042
ablation_cosine_train,25,mpl,lr_level,wsdld_20000_24000.csv,0.031187204981558317,0.02615391808657507,0.007702579548060189,0.01560854709883245,0.9574527186182114,0.009986576976653203,0.007261903068138351
ablation_cosine_train,25,mpl,cumulative,wsd_20000_24000.csv,0.010415009713879486,0.007511035481257016,0.002204494249744803,0.007291441646610874,0.9953997720763534,0.007291441646610874,0.0015477974377109344
ablation_cosine_train,25,mpl,cumulative,wsdld_20000_24000.csv,0.009524392650338729,0.007014591874444898,0.002051156266971452,0.008037174898299877,0.9960318005879444,0.008037174898299877,0.0014007741851846088
ablation_cosine_train,25,mpl,decay_cum,wsd_20000_24000.csv,0.03004297758382505,0.02527395430682061,0.007443234570873052,0.015724986511097615,0.9617222908077155,0.009012397100119984,0.007021893614708386
ablation_cosine_train,25,mpl,decay_cum,wsdld_20000_24000.csv,0.031566804989912135,0.026457051690103723,0.007791875442120546,0.015834819983819578,0.9564106733120357,0.010013777633980717,0.007357263241903968
ablation_cosine_train,25,mpl,decay_memory,wsd_20000_24000.csv,0.05012885001231183,0.027848729507523453,0.008281445331946056,0.049413209523430264,0.8934298751349697,0.008968701707816341,0.004425438493236676
ablation_cosine_train,25,mpl,decay_memory,wsdld_20000_24000.csv,0.04624515457040625,0.027340201812917415,0.008121651388229767,0.036148309027078065,0.9064483661469437,0.031215888457237186,0.004212894424823608
ablation_cosine_train,25,mpl,full,wsd_20000_24000.csv,0.05114746676532855,0.04793957317201335,0.013919515068588902,0.0334421452798818,0.8890548686174077,0.004439059348822005,0.013863943825508694
ablation_cosine_train,25,mpl,full,wsdld_20000_24000.csv,0.04919418832059723,0.04751087273328978,0.01378694463439911,0.02386545837133182,0.8941364375155385,0.020243245553779935,0.013686178562377043
ablation_cosine_train,25,mpl,fsl_light,wsd_20000_24000.csv,0.059308090191745204,0.05611136500617296,0.016101873421051106,0.01995646509803874,0.8508278085705054,0.006819335985279725,0.014488952450781824
ablation_cosine_train,25,mpl,fsl_light,wsdld_20000_24000.csv,0.059122081965553165,0.05542465154161199,0.015892035130531935,0.019949633138616397,0.8470961768865325,0.0071209826124553795,0.014667530597141576
ablation_cosine_train,100,tissue,bias_only,wsd_20000_24000.csv,0.00511706577105577,0.004153692823382654,0.0013429140591791936,0.005544523317345818,0.999003365392254,0.005544523317345818,0.0007695469242544062
ablation_cosine_train,100,tissue,bias_only,wsdld_20000_24000.csv,0.0036469929713951084,0.003288970513278534,0.001051759450559072,0.0022603346523241705,0.9994756770709284,0.0018444123727261832,0.0006936682099906385
ablation_cosine_train,100,tissue,lr_level,wsd_20000_24000.csv,0.006886921365358006,0.005994937458398913,0.001933452530552694,0.005782469389627612,0.9981947214828073,0.005782469389627612,0.0014938895007997708
ablation_cosine_train,100,tissue,lr_level,wsdld_20000_24000.csv,0.005991702271230422,0.005103940746744389,0.0016330798199093658,0.0040020487944276255,0.9985847621091329,0.002118427676303168,0.001479435773587976
ablation_cosine_train,100,tissue,cumulative,wsd_20000_24000.csv,0.005098064017738742,0.004121025336600227,0.0013326529494704815,0.005555549340989884,0.9990107534712471,0.005555549340989884,0.0007603201796817246
ablation_cosine_train,100,tissue,cumulative,wsdld_20000_24000.csv,0.003614980516271159,0.0032546458872564133,0.0010409430975766756,0.002254560991133683,0.9994848414414405,0.0018539153091020276,0.0006843123372959143
ablation_cosine_train,100,tissue,decay_cum,wsd_20000_24000.csv,0.007252822965306007,0.00630108731306326,0.002031996177081479,0.005821165360465333,0.9979977969468014,0.005821165360465333,0.0016238322600367339
ablation_cosine_train,100,tissue,decay_cum,wsdld_20000_24000.csv,0.00644729757681584,0.005440106972073348,0.0017414666017619926,0.004341510767422663,0.9983613566915568,0.002159545443675608,0.001622919716309695
ablation_cosine_train,100,tissue,decay_memory,wsd_20000_24000.csv,0.0077336316448433865,0.006524119071887354,0.0021058536808387395,0.006223150062997947,0.9977235352445681,0.006223150062997947,0.0018778412597742007
ablation_cosine_train,100,tissue,decay_memory,wsdld_20000_24000.csv,0.007148348810627478,0.006096364808024695,0.0019591696210809165,0.004831121539534689,0.9979856243181076,0.0030807799769304455,0.0018795736386177273
ablation_cosine_train,100,tissue,full,wsd_20000_24000.csv,0.009497285539683696,0.008611023905894567,0.0027615841529615424,0.005946282986105636,0.9965668485963389,0.005946282986105636,0.0024475188864345153
ablation_cosine_train,100,tissue,full,wsdld_20000_24000.csv,0.008942175787705944,0.007835882631107072,0.0024995189820228923,0.005492757281743685,0.9968477881036626,0.0024106680816254286,0.002451228054374302
ablation_cosine_train,100,tissue,fsl_light,wsd_20000_24000.csv,0.00683636630807275,0.006316011908730665,0.002025323062944538,0.0055207461124990725,0.9982211283413929,0.0055207461124990725,0.0014774271897327893
ablation_cosine_train,100,tissue,fsl_light,wsdld_20000_24000.csv,0.005804649851717079,0.005439326940169822,0.0017303202044587085,0.0032347696343890753,0.9986717462454253,0.001785487742298955,0.0014026414445907649
ablation_cosine_train,100,mpl,bias_only,wsd_20000_24000.csv,0.01039853239581765,0.006401641285004845,0.0021036481369944974,0.00896387022562083,0.995884353514035,0.008942948703653137,0.0016844364703439048
ablation_cosine_train,100,mpl,bias_only,wsdld_20000_24000.csv,0.008981704737703327,0.005683825796354107,0.0018588196371504444,0.010055501841492145,0.9968198577576275,0.010055501841492145,0.0014519126053201326
ablation_cosine_train,100,mpl,lr_level,wsd_20000_24000.csv,0.0194853878115052,0.01580668119351186,0.005151628618219011,0.01142052536899653,0.9855485284165482,0.010542128533050364,0.00465032776146502
ablation_cosine_train,100,mpl,lr_level,wsdld_20000_24000.csv,0.01962425730846239,0.015889701281055057,0.005170380933083042,0.011801898800393004,0.9848184729850785,0.011801898800393004,0.0046692673327411605
